date,lon,lat,SPEI,region
2007-01-16,-15.75,23.75,-0.57191914,dakhla-oued_ed-dahab
2007-02-15,-15.75,23.75,-1.7234904,dakhla-oued_ed-dahab
2007-03-16,-15.75,23.75,-0.40075266,dakhla-oued_ed-dahab
2007-04-16,-15.75,23.75,-1.1642239,dakhla-oued_ed-dahab
2007-05-16,-15.75,23.75,-1.0986627,dakhla-oued_ed-dahab
2007-06-16,-15.75,23.75,-2.014965,dakhla-oued_ed-dahab
2007-07-16,-15.75,23.75,-2.3034096,dakhla-oued_ed-dahab
2007-08-16,-15.75,23.75,0.53699017,dakhla-oued_ed-dahab
2007-09-16,-15.75,23.75,-3.4639375,dakhla-oued_ed-dahab
2007-10-16,-15.75,23.75,-0.51982003,dakhla-oued_ed-dahab
2007-11-16,-15.75,23.75,-1.1318614,dakhla-oued_ed-dahab
2007-12-16,-15.75,23.75,-0.828168,dakhla-oued_ed-dahab
2008-01-16,-15.75,23.75,-0.57191914,dakhla-oued_ed-dahab
2008-02-15,-15.75,23.75,-0.086097665,dakhla-oued_ed-dahab
2008-03-16,-15.75,23.75,-1.0026704,dakhla-oued_ed-dahab
2008-04-16,-15.75,23.75,-1.5298617,dakhla-oued_ed-dahab
2008-05-16,-15.75,23.75,-1.9180517,dakhla-oued_ed-dahab
2008-06-16,-15.75,23.75,-1.1769621,dakhla-oued_ed-dahab
2008-07-16,-15.75,23.75,-0.1474625,dakhla-oued_ed-dahab
2008-08-16,-15.75,23.75,-1.581483,dakhla-oued_ed-dahab
2008-09-16,-15.75,23.75,2.7551386,dakhla-oued_ed-dahab
2008-10-16,-15.75,23.75,1.6560204,dakhla-oued_ed-dahab
2008-11-16,-15.75,23.75,0.5638617,dakhla-oued_ed-dahab
2008-12-16,-15.75,23.75,1.4702668,dakhla-oued_ed-dahab
2009-01-16,-15.75,23.75,0.7799126,dakhla-oued_ed-dahab
2009-02-15,-15.75,23.75,-0.45602214,dakhla-oued_ed-dahab
2009-03-16,-15.75,23.75,0.4543074,dakhla-oued_ed-dahab
2009-04-16,-15.75,23.75,-0.7138523,dakhla-oued_ed-dahab
2009-05-16,-15.75,23.75,-1.0986627,dakhla-oued_ed-dahab
2009-06-16,-15.75,23.75,0.34583446,dakhla-oued_ed-dahab
